_id,start_time,end_time,location_id,clip
"""6338e00d1bb12aca18a8f9cc""","10/1/2022, 8:46:56 PM","10/1/2022, 8:49:17 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664671616.mp4"")"
"""6338e0341bb12aca18a8f9cd""","10/1/2022, 8:49:19 PM","10/1/2022, 8:49:56 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664671759.mp4"")"
"""6338e1d61bb12aca18a8f9d1""","10/1/2022, 8:55:56 PM","10/1/2022, 8:56:54 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664672156.mp4"")"
"""6338eff51bb12aca18a8f9e1""","10/1/2022, 9:53:11 PM","10/1/2022, 9:57:09 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664675591.mp4"")"
"""6338fd571bb12aca18a8f9ef""","10/1/2022, 10:51:05 PM","10/1/2022, 10:54:15 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664679065.mp4"")"
"""6338fe081bb12aca18a8f9f2""","10/1/2022, 10:56:20 PM","10/1/2022, 10:57:12 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664679380.mp4"")"
"""6338fff81bb12aca18a8f9f4""","10/1/2022, 11:04:44 PM","10/1/2022, 11:05:28 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664679884.mp4"")"
"""633902a21bb12aca18a8f9f8""","10/1/2022, 11:16:13 PM","10/1/2022, 11:16:50 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664680573.mp4"")"
"""63390afd1bb12aca18a8f9fe""","10/1/2022, 11:49:31 PM","10/1/2022, 11:52:29 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664682571.mp4"")"
"""633917f31bb12aca18a8fa0a""","10/2/2022, 12:47:26 AM","10/2/2022, 12:47:47 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664686046.mp4"")"
"""633918101bb12aca18a8fa0b""","10/2/2022, 12:47:49 AM","10/2/2022, 12:48:16 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664686069.mp4"")"
"""63391a2b1bb12aca18a8fa11""","10/2/2022, 12:56:20 AM","10/2/2022, 12:57:15 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664686580.mp4"")"
"""63391fea1bb12aca18a8fa15""","10/2/2022, 1:21:10 AM","10/2/2022, 1:21:46 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664688070.mp4"")"
"""633925e21bb12aca18a8fa18""","10/2/2022, 1:44:36 AM","10/2/2022, 1:47:14 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664689476.mp4"")"
"""63396c431bb12aca18a8fa3d""","10/2/2022, 6:44:12 AM","10/2/2022, 6:47:30 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664707452.mp4"")"
"""63396e3a1bb12aca18a8fa3f""","10/2/2022, 6:54:57 AM","10/2/2022, 6:55:54 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664708097.mp4"")"
"""63397a9c1bb12aca18a8fa52""","10/2/2022, 7:45:54 AM","10/2/2022, 7:48:44 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664711154.mp4"")"
"""63397c721bb12aca18a8fa55""","10/2/2022, 7:55:26 AM","10/2/2022, 7:56:34 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664711726.mp4"")"
"""633988ad1bb12aca18a8fa64""","10/2/2022, 8:45:58 AM","10/2/2022, 8:48:44 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664714758.mp4"")"
"""63398b0c1bb12aca18a8fa69""","10/2/2022, 8:57:50 AM","10/2/2022, 8:58:52 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664715470.mp4"")"
"""6339965b1bb12aca18a8fa78""","10/2/2022, 9:44:38 AM","10/2/2022, 9:47:06 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664718278.mp4"")"
"""633998731bb12aca18a8fa7d""","10/2/2022, 9:55:08 AM","10/2/2022, 9:56:02 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664718908.mp4"")"
"""6339a6631bb12aca18a8fa94""","10/2/2022, 10:51:35 AM","10/2/2022, 10:55:31 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664722295.mp4"")"
"""6339b3d61bb12aca18a8faa9""","10/2/2022, 11:50:27 AM","10/2/2022, 11:52:54 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664725827.mp4"")"
"""6339b50d1bb12aca18a8faad""","10/2/2022, 11:57:08 AM","10/2/2022, 11:58:04 AM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664726228.mp4"")"
"""6339c3251bb12aca18a8fabe""","10/2/2022, 12:55:15 PM","10/2/2022, 12:58:13 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664729715.mp4"")"
"""6339cf081bb12aca18a8facb""","10/2/2022, 1:46:28 PM","10/2/2022, 1:48:55 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664732788.mp4"")"
"""6339d0d31bb12aca18a8facd""","10/2/2022, 1:55:41 PM","10/2/2022, 1:56:35 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664733341.mp4"")"
"""6339dd6c1bb12aca18a8fadf""","10/2/2022, 2:47:43 PM","10/2/2022, 2:50:20 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664736463.mp4"")"
"""6339df1e1bb12aca18a8fae2""","10/2/2022, 2:56:54 PM","10/2/2022, 2:57:34 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664737014.mp4"")"
"""6339eb1d1bb12aca18a8faf0""","10/2/2022, 3:46:09 PM","10/2/2022, 3:48:45 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664739969.mp4"")"
